Rank,Partner Id,Partner Name,TOP SE PL State,node_name,state_name,NRV FY-25-26,GM FY-25-26,GM Score,GM Share,PL NRV 25-26,GM%,ABC Mapping,GM% Score,PL%,Total Returns in %,Return Score,Avg Repayment days,Paid within due days,Financing scheme (Y/N),Credit Score,TOTAL SCORE,Cohort
43,1000004830,Naman Khad Beej Bhandar,anurag.gautam@agrevolution.in,Muzaffarpur,Bihar,5125206,644620,0.37,6.50%,2005337,13%,C,0.42,39%,-1%,0.99,27,91%,Yes,0.84,0.58,Strategic
44,1000007964,M/S Sah Enterprises,shubham.mishra@agrevolution.in,Katihar,Bihar,"79,694",22971,0.01,92.20%,79694,29%,B,0.96,100%,0%,1,8,100%,0,0.96,0.58,Strategic
45,1000003062,M/s krishi beej bhandar,mukesh.kumar5@agrevolution.in,Samastipur,Bihar,1380540,275208,0.16,24.60%,1026017,20%,C,0.66,74%,-3%,0.97,6,100%,0,0.97,0.58,Strategic
46,1000030563,ODUD HOSSAIN,nasim.aktar@agrevolution.in,Murshidabad,West Bengal,2470809,542736,0.31,8.60%,2470809,22%,B,0.73,100%,-3%,0.97,39,86%,0,0.71,0.58,Strategic
47,1000000038,New Annapurna Khad Bhandar,susheel.kumar@agrevolution.in,Vaishali,Bihar,7749817,685039,0.39,5.40%,2613926,9%,D,0.29,34%,-1%,0.99,26,100%,Yes,0.89,0.58,Strategic
48,1000043490,PRAMOD KHAD BHANDAR,praveen.bhardwaj@agrevolution.in,Aligarh,Uttar Pradesh,"68,755",21261,0.01,92.90%,68755,31%,A,1,100%,-21%,0.79,-,98%,0,0.99,0.58,Strategic
49,1000002190,M/s Ganesh Beej Bhandar,mewa.garhwal@agrevolution.in,Jaipur,Rajasthan,1284320,278845,0.16,24.20%,1215720,22%,B,0.72,95%,-7%,0.93,13,100%,0,0.93,0.58,Strategic
50,1000041245,SHUBHAM FERTILIZER & AGRO SERVICES,(blank),Nashik,Maharashtra,120000,33190,0.02,87.60%,120000,28%,B,0.92,100%,0%,1,7,100%,0,0.96,0.58,Strategic
51,1000015659,M/s Vidhur Krishi Seva Kendra,mahendra.dubey@agrevolution.in,Bhopal,Madhya Pradesh,8767374,728820,0.42,4.30%,8674484,8%,D,0.28,99%,0%,1,34,100%,Yes,0.86,0.58,Strategic
52,1000021823,MANJIT KUMAR MAHESWARI,dinesh.ram@agrevolution.in,Cooch Behar,West Bengal,504760,115651,0.07,56.70%,286936,23%,B,0.76,57%,0%,1,-,100%,0,1,0.58,Strategic
53,1000043374,Aaradhya Traders,shashi@agrevolution.in,Purnea,Bihar,"51,729",23500,0.01,92.00%,51729,45%,A,1,100%,0%,1,16,100%,0,0.91,0.58,Strategic
54,1000043101,SAURABH KHAD BEEJ BHANDAR,desh.deepak@agrevolution.in,Aligarh,Uttar Pradesh,159309,59671,0.03,77.20%,159309,37%,A,1,100%,0%,1,21,100%,0,0.88,0.58,Strategic
55,1000042666,OM SAI KRUSHI UDYOG,(blank),Nashik,Maharashtra,112538,30618,0.02,88.90%,112538,27%,B,0.91,100%,0%,1,6,100%,0,0.97,0.58,Strategic
56,1000001395,M/S Waris Agro Centre,chhtrashal.singh@agrevolution.in,Purnea,Bihar,3217737,666800,0.38,6.00%,1822987,21%,B,0.69,57%,-1%,0.99,34,63%,0,0.63,0.58,Strategic
57,1000042199,M/S MEENA BUILDING MATERAIL AND KISAN SEVA KENDRA,(blank),Aligarh,Uttar Pradesh,483480,148566,0.09,48.10%,483480,31%,A,1,100%,-1%,0.99,13,78%,0,0.82,0.58,Strategic
58,1000042745,SETH TRADERS,piyush.tiwari@agrevolution.in,Jabalpur,Madhya Pradesh,201215,54511,0.03,79.10%,201215,27%,B,0.9,100%,0%,1,10,100%,0,0.94,0.58,Strategic
59,1000042368,BAJRANG AGRO AND TRADERS,(blank),Ahmedabad,Gujarat,138561,39564,0.02,84.80%,138561,29%,B,0.95,100%,0%,1,14,100%,0,0.92,0.58,Strategic
60,1000016444,M/s Shiv Traders,akshat.pandey3@agrevolution.in,Giridih,Jharkhand,1697435,423526,0.24,13.20%,1445975,25%,B,0.83,85%,-14%,0.86,45,89%,Yes,0.76,0.58,Strategic
61,1000018352,M/s Achinta Fertilizer,bishnu.deb@agrevolution.in,Cooch Behar,West Bengal,3282397,592792,0.34,7.30%,2170380,18%,C,0.6,66%,-13%,0.87,27,85%,0,0.77,0.58,Strategic
62,1000041876,KRUSHIK AGRO MALL,(blank),Nashik,Maharashtra,"90,000",25050,0.01,91.40%,90000,28%,B,0.93,100%,0%,1,10,100%,0,0.94,0.57,Strategic
63,1000042896,ROYAL AGROTECH,(blank),Aligarh,Uttar Pradesh,136649,46103,0.03,82.20%,119994,34%,A,1,88%,0%,1,22,100%,0,0.88,0.57,Strategic
64,1000026046,JALARAM SEEDS,(blank),Ahmedabad,Gujarat,827224,213238,0.12,34.20%,827224,26%,B,0.86,100%,-2%,0.98,27,100%,0,0.85,0.57,Strategic
65,1000020197,M/s Shyamal Kumar Panday,souvick.mondal@agrevolution.in,Murshidabad,West Bengal,455761,173495,0.1,42.50%,455761,38%,A,1,100%,0%,1,27,85%,0,0.78,0.57,Strategic
66,1000016877,M/s New Basundhara,bishnu.deb@agrevolution.in,Cooch Behar,West Bengal,446376,104729,0.06,60.60%,416919,23%,B,0.78,93%,-8%,0.92,-,100%,0,1,0.57,Strategic
67,1000024059,KHODIYAR KRUPA AGRO CENTER,kanpariya.jausukhbhai@agrevolution.in,Ahmedabad,Gujarat,6120568,1172652,0.67,1.50%,3552902,19%,C,0.64,58%,0%,1,139,51%,Yes,0.25,0.57,Strategic
68,1000033642,M/S RIJVANA KRISHI UDHAMI SEVA KENDRA,(blank),Motihari,Bihar,146605,44461,0.03,82.80%,112298,30%,A,1,77%,0%,1,9,85%,0,0.87,0.57,Strategic
69,1000025876,Paras Krishi Kendra,piyush.tiwari@agrevolution.in,Jabalpur,Madhya Pradesh,6140309,710516,0.41,4.90%,4149685,12%,C,0.39,68%,-8%,0.92,31,94%,0,0.8,0.57,Strategic
70,1000033254,M/S IFFDC KRISHAK SEVA KENDRA,rameshkr.mehta@agrevolution.in,Arariya,Bihar,2934532,583999,0.33,7.50%,2163245,20%,C,0.66,74%,-10%,0.9,48,83%,Yes,0.72,0.57,Strategic
71,1000041102,Mauli Organics,(blank),Nashik,Maharashtra,271615,77323,0.04,70.10%,271615,28%,B,0.95,100%,0%,1,22,100%,0,0.88,0.57,Strategic
72,1000006209,M/S PAWAN KHAD BEEJ BHANDAR,nikhilesh.kumar@agrevolution.in,Motihari,Bihar,305346,78866,0.05,69.50%,270181,26%,B,0.86,88%,-2%,0.98,12,98%,Yes,0.94,0.57,Strategic
73,1000005583,M/s Savi Krishi Kendra,yogesh.rathore@agrevolution.in,Khandwa,Madhya Pradesh,268018,94579,0.05,64.10%,268018,35%,A,1,100%,0%,1,26,95%,0,0.83,0.57,Strategic
74,1000025879,KAILASH AGRO CENTRE,mewa.garhwal@agrevolution.in,Jaipur,Rajasthan,754881,217970,0.12,33.40%,742193,29%,B,0.96,98%,-7%,0.93,39,100%,0,0.78,0.57,Strategic
75,1000005961,M/S SK SAMSHER ALI,souvick.mondal@agrevolution.in,Murshidabad,West Bengal,792247,224452,0.13,32.20%,777877,28%,B,0.94,98%,0%,1,37,94%,0,0.76,0.57,Strategic
76,1000002576,DILIP BEEJ BHANDAR,satyam.kumar@agrevolution.in,Samastipur,Bihar,1005324,236870,0.14,29.90%,762610,24%,B,0.79,76%,0%,1,19,92%,0,0.85,0.57,Strategic
77,1000022250,MATRIBHUMI FERTILIZER,bishnu.deb@agrevolution.in,Cooch Behar,West Bengal,110040,37525,0.02,85.70%,110040,34%,A,1,100%,-16%,0.84,13,98%,0,0.92,0.57,Strategic
78,1000036350,MADHUP KHAD BEEJ BHANDAR,ranjesh.ray@agrevolution.in,Vaishali,Bihar,1384323,254804,0.15,27.00%,1281700,18%,C,0.61,93%,0%,1,8,99%,0,0.95,0.57,Strategic
79,1000037102,Navnath Organic Agro,akash.pachorkar@agrevolution.in,Nashik,Maharashtra,1280330,264245,0.15,26.10%,1231276,21%,B,0.69,96%,-4%,0.96,17,100%,0,0.91,0.57,Strategic
80,1000022482,DEBNATH FERTILIZER,bishnu.deb@agrevolution.in,Cooch Behar,West Bengal,1569216,328443,0.19,19.40%,1455389,21%,B,0.7,93%,-7%,0.93,23,97%,0,0.86,0.57,Strategic
81,1000036018,BHAIRAV KRASHI SEVA KENDRA PROP NAR,rajesh.yadav2@agrevolution.in,Gwalior,Madhya Pradesh,120886,34427,0.02,86.90%,120886,28%,B,0.95,100%,-5%,0.95,17,100%,0,0.91,0.56,Strategic
82,1000007106,Keshari Khad Dukan,nikhilesh.kumar@agrevolution.in,Motihari,Bihar,4677563,562168,0.32,8.10%,1769460,12%,C,0.4,38%,-4%,0.96,32,100%,Yes,0.87,0.56,Strategic
83,1000000445,M/S Radhe Trading,satyam.kumar@agrevolution.in,Samastipur,Bihar,"73,058",18692,0.01,94.00%,63227,26%,B,0.85,87%,0%,1,8,100%,Yes,0.97,0.56,Strategic
84,1000002000,M/s Jagdish Krishi Kendra,satyam.kumar@agrevolution.in,Samastipur,Bihar,3172830,465272,0.27,11.20%,1464189,15%,C,0.49,46%,-12%,0.88,15,98%,0,0.91,0.56,Strategic
85,1000034724,SHREE KHATU SHYAM JI ENTERPRISES,rajesh.raja@agrevolution.in,Nawada,Bihar,"64,155",16426,0.01,94.90%,64155,26%,B,0.85,100%,0%,1,6,100%,0,0.97,0.56,Strategic
86,1000003641,Sanjay Khad Bhandar,alok.sharma1@agrevolution.in,Aligarh,Uttar Pradesh,3291593,505926,0.29,9.70%,2936703,15%,C,0.51,89%,-11%,0.89,25,98%,0,0.85,0.56,Strategic
87,1000000699,M/S Shafak Khad Beej Bhandar,shubham.kumar1@agrevolution.in,Purnea,Bihar,226629,87455,0.05,66.50%,226629,39%,A,1,100%,0%,1,16,79%,0,0.8,0.56,Strategic
88,1000041146,MEHUL SEEDS,rajat.singh@agrevolution.in,Ahmedabad,Gujarat,275692,65219,0.04,75.00%,275692,24%,B,0.79,100%,0%,1,7,100%,0,0.96,0.56,Strategic
89,1000021127,HEMANT TRADERS,mahesh.kohle@agrevolution.in,Jalna,Maharashtra,371555,92305,0.05,64.90%,328707,25%,B,0.83,88%,-8%,0.92,14,100%,Yes,0.94,0.56,Strategic
90,1000041612,SHRI AGRO,prashant.sapkal@agrevolution.in,Akola,Maharashtra,240646,76170,0.04,70.60%,240646,32%,A,1,100%,0%,1,34,100%,0,0.81,0.56,Strategic
91,1000017681,M/s DWIJENDRA NATH RAY,bishnu.deb@agrevolution.in,Cooch Behar,West Bengal,2041273,440042,0.25,12.30%,1514915,22%,B,0.72,74%,-37%,0.63,26,98%,0,0.84,0.56,Strategic
92,1000009147,M/S AGRI JUNCTION ONE STOP SHOP,gaurav.singh@agrevolution.in,Sitapur,Uttar Pradesh,"69,165",17604,0.01,94.40%,60731,25%,B,0.85,88%,0%,1,8,100%,0,0.95,0.56,Strategic
93,1000006100,M/S Rahul Krishi Kendra,shubham@agrevolution.in,Bihar Sharif,Bihar,1147410,217850,0.12,33.50%,823743,19%,C,0.63,72%,0%,1,13,100%,Yes,0.95,0.56,Strategic
94,1000035329,SHRI DADA JI KRISHI KENDRA,sunil.kumar4@agrevolution.in,Jabalpur,Madhya Pradesh,3535452,564184,0.32,7.80%,3212734,16%,C,0.53,91%,-4%,0.96,36,92%,0,0.76,0.56,Strategic
95,1000000440,M/s AMIT KRISHI KENDRA,brajb@agrevolution.in,Raipur,Chhattisgarh,4021439,627436,0.36,7.00%,3816348,16%,C,0.52,95%,-6%,0.94,41,79%,Yes,0.73,0.56,Strategic
96,1000032687,KHUTAR GREEN FARMER PRODUCER COMPANY LIMITED,abhishek.kumar6@agrevolution.in,Shahjahanpur,Uttar Pradesh,1341331,233336,0.13,30.30%,1324980,17%,C,0.58,99%,-5%,0.95,3,100%,0,0.98,0.56,Strategic
97,1000008348,Shivta Khad Beej Bhandar,kartik@agrevolution.in,Alwar,Rajasthan,1498367,285239,0.16,23.80%,1498367,19%,C,0.63,100%,-17%,0.83,10,100%,0,0.94,0.56,Strategic
98,1000033666,Kushwaha Beej Bhandar,amit.kumar15@agrevolution.in,Siwan,Bihar,484137,128763,0.07,53.20%,484137,27%,B,0.89,100%,0%,1,25,95%,0,0.84,0.56,Strategic
99,1000008952,M/s Nihar Sarkar,nasim.aktar@agrevolution.in,Murshidabad,West Bengal,819907,193049,0.11,37.90%,810331,24%,B,0.78,99%,0%,1,25,99%,0,0.86,0.56,Strategic
100,1000029808,M/S MUKUL CHANDRA DAS,dashrath.mahato@agrevolution.in,Malda,West Bengal,808458,238219,0.14,29.70%,792262,29%,B,0.98,98%,0%,1,40,82%,0,0.69,0.56,Strategic
101,1000030163,M/s Kisan Khad Bhandar,anujkr.yadav@agrevolution.in,Kheri,Uttar Pradesh,3341656,458074,0.26,11.60%,2735857,14%,C,0.46,82%,-9%,0.91,15,96%,0,0.9,0.56,Strategic
102,1000043148,M/S JAGANNATH TRADERS,bignya.dash@agrevolution.in,Nabarangpur,Orissa,"67,900",19569,0.01,93.60%,67900,29%,B,0.96,100%,0%,1,-,73%,0,0.86,0.56,Strategic
103,1000007372,KISAN BEEJ BHANDAR,rajesh.raja@agrevolution.in,Nawada,Bihar,2326640,383691,0.22,15.50%,1615008,16%,C,0.55,69%,-4%,0.96,23,100%,0,0.87,0.56,Strategic
104,1000002991,Kisan Seva Sadan Near,anurag.gautam@agrevolution.in,Muzaffarpur,Bihar,3607723,590469,0.34,7.40%,2176795,16%,C,0.55,60%,-14%,0.86,40,83%,Yes,0.75,0.56,Strategic
105,1000034293,BALIRAJA AGRO SERVICES,vinod.pawar@agrevolution.in,CHHATRAPATI SAMBHAJINAGAR,Maharashtra,"76,715",20125,0.01,93.40%,76715,26%,B,0.87,100%,-8%,0.92,10,100%,0,0.94,0.55,Strategic
106,1000041370,KISHAN KHAD BHANDAR,nitish.kumar2@agrevolution.in,Nawada,Bihar,140060,35583,0.02,86.50%,133006,25%,B,0.85,95%,0%,1,11,97%,0,0.92,0.55,Strategic
107,1000009648,Jagdambe Krishi Kendra,rajesh.raja@agrevolution.in,Nawada,Bihar,4394923,633778,0.36,6.90%,2301683,14%,C,0.48,52%,-15%,0.85,27,82%,0,0.76,0.55,Strategic
108,1000035585,PRINCE TRADERS,kuldeep.rajak@agrevolution.in,Gwalior,Madhya Pradesh,5050185,1115495,0.64,2.00%,4859066,22%,B,0.74,96%,-30%,0.7,80,43%,0,0.27,0.55,Strategic
109,1000005663,M/s Krishna Krishi Sewa Kendra,yogesh.rathore@agrevolution.in,Khandwa,Madhya Pradesh,397891,121170,0.07,55.10%,367400,30%,A,1,92%,-25%,0.75,39,100%,Yes,0.84,0.55,Strategic
110,1000002085,M/S GANESH KHAD BEEJ BHANDAR,gaurav.singh5@agrevolution.in,Aligarh,Uttar Pradesh,"72,367",17111,0.01,94.60%,72367,24%,B,0.79,100%,0%,1,5,100%,0,0.97,0.55,Strategic
111,1000000293,GANESH KHAD BEEJ BHANDAR,suraj.kumar1@agrevolution.in,Madhepura,Bihar,9054087,558081,0.32,8.40%,2661710,6%,D,0.21,29%,-5%,0.95,7,100%,0,0.96,0.55,Strategic
112,1000032654,M/S LAXMI SEEDS,manoj.vishwakarma@agrevolution.in,Bhopal,Madhya Pradesh,268125,91642,0.05,65.10%,258464,34%,A,1,96%,0%,1,31,80%,Yes,0.77,0.55,Strategic
113,1000000920,New Kisan Store,vaibhav.singh1@agrevolution.in,Samastipur,Bihar,2630658,389077,0.22,14.80%,1349503,15%,C,0.49,51%,-6%,0.94,24,100%,Yes,0.9,0.55,Strategic
114,1000006775,Agriculture Centre,gauri.shankar@agrevolution.in,Saharsa,Bihar,1852762,412260,0.24,13.90%,1233431,22%,B,0.74,67%,-7%,0.93,33,81%,0,0.72,0.55,Strategic
115,1000041476,M/S SHREE OM TRADERS,shashank.srivastava1@agrevolution.in,Shahjahanpur,Uttar Pradesh,"79,678",19171,0.01,93.80%,79678,24%,B,0.8,100%,0%,1,8,100%,0,0.96,0.55,Strategic
116,1000039352,Verma Fertilizers and Pesticide,tejpratap.kushwaha@agrevolution.in,Barabanki,Uttar Pradesh,"58,212",17780,0.01,94.30%,56982,31%,A,1,98%,-10%,0.9,34,100%,Yes,0.86,0.55,Strategic
117,1000018271,M/s Ajhari Khad Beej Bhandar,shubham.kumar1@agrevolution.in,Purnea,Bihar,1164802,340023,0.19,18.30%,1043142,29%,B,0.97,90%,-1%,0.99,53,64%,Yes,0.6,0.55,Strategic
118,1000007954,Kisan Agro Traders,aman.anand@agrevolution.in,Mohania,Bihar,5471924,533766,0.31,8.90%,1860680,10%,D,0.33,34%,-1%,0.99,27,99%,Yes,0.88,0.55,Strategic
119,1000041865,KARNPURAKAIMUR AGRICULTURE PRODUCER COMPANY LIMITED,(blank),Mohania,Bihar,"92,458",24681,0.01,91.50%,87368,27%,B,0.89,94%,0%,1,10,89%,0,0.89,0.55,Strategic
120,1000003588,M/S Ashok Traders,rameshkr.mehta@agrevolution.in,Arariya,Bihar,1218963,356286,0.2,17.30%,1089820,29%,B,0.97,89%,-26%,0.74,53,77%,Yes,0.66,0.55,Strategic
121,1000035411,PATIDAR KRISHI SEVA KENDRA,rahul.malviya@agrevolution.in,Shajapur,Madhya Pradesh,596581,196311,0.11,37.30%,596581,33%,A,1,100%,-5%,0.95,47,91%,0,0.7,0.55,Strategic
122,1000003430,Khushwaha Khad Beej Bhandar,vivek.kumar10@agrevolution.in,Muzaffarpur,Bihar,"65,995",21120,0.01,93.00%,65995,32%,A,1,100%,0%,1,21,86%,0,0.81,0.55,Strategic
123,1000040847,SURYANSH KRISHI SEVA KENDRA,ayush.pchauri@agrevolution.in,Bhopal,Madhya Pradesh,266383,74103,0.04,71.50%,255705,28%,B,0.93,96%,0%,1,30,97%,0,0.82,0.55,Strategic
124,1000001318,Shivam Krishi Kendra,bipul.kumar4@agrevolution.in,Begusarai,Bihar,200937,51393,0.03,80.20%,163417,26%,B,0.85,81%,0%,1,13,92%,0,0.89,0.55,Strategic
125,1000002308,Manish Khad Beej Bhandar,rajeev.kumar2@agrevolution.in,Muzaffarpur,Bihar,3025126,393858,0.23,14.40%,1457277,13%,C,0.43,48%,-4%,0.96,20,100%,Yes,0.92,0.55,Strategic
